                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5837,                 6.0351,                 4.1685,                0.00031,                0.05392,                 0.0002,                 0.0001,                 3.8961,                 5.1272,                 4.1889,             0.00065753,             0.00065753,             0.00065753
                      2,                 3.1839,                 4.9043,                 3.6699,                0.00141,                 0.2451,                0.00168,                0.00053,                 2.9636,                 4.8724,                 3.1101,              0.0013111,              0.0013111,              0.0013111
                      3,                 2.8957,                 4.3975,                 3.2397,                 0.0092,                0.11765,                0.00278,                0.00095,                 2.9212,                 46.662,                 4.6563,              0.0019514,              0.0019514,              0.0019514
                      4,                 2.7299,                 3.8824,                  2.947,                0.24895,                0.07353,                0.05155,                0.01479,                 2.6717,                 6.8343,                 2.8735,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6889,                 3.4205,                 2.8695,                0.26588,                0.13235,                0.10098,                0.03524,                 2.4245,                 3.1481,                 2.5318,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.5419,                 3.1002,                 2.6942,                0.36468,                 0.2402,                0.20433,                0.07732,                 2.3486,                 2.6713,                 2.4215,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.4689,                 2.8916,                 2.6628,                0.35353,                0.21569,                0.18273,                0.07217,                 2.2235,                 2.7569,                  2.421,               0.001901,               0.001901,               0.001901
                      8,                 2.3826,                 2.7576,                 2.5747,                0.61302,                 0.2402,                0.27509,                 0.1088,                 2.1712,                 2.6248,                 2.2925,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.2924,                 2.6374,                 2.4945,                0.53044,                0.21078,                0.21842,                0.09021,                 2.2864,                 2.4128,                 2.3699,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.2491,                 2.6209,                 2.4576,                 0.5196,                0.34804,                0.33655,                0.14183,                 2.0476,                 2.1549,                 2.1751,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.1495,                 2.3771,                 2.3468,                0.39097,                0.32413,                0.26485,                0.09684,                 2.1204,                 2.9162,                   2.27,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.0863,                 2.3931,                 2.2957,                0.62899,                0.35294,                0.40006,                0.16947,                  2.019,                 2.0927,                 2.1711,               0.001802,               0.001802,               0.001802
                     13,                 2.1016,                 2.3138,                 2.2842,                0.69969,                0.35406,                0.41731,                0.16438,                 2.0555,                 1.9416,                 2.1652,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.0482,                 2.2448,                 2.2518,                0.47679,                0.41545,                0.39454,                0.16008,                 2.0452,                 2.0732,                 2.1347,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0568,                 2.2205,                 2.2418,                0.60028,                0.38279,                0.41754,                0.18746,                 1.9933,                  1.924,                   2.08,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.0272,                  2.181,                 2.1698,                0.61129,                0.44608,                0.46241,                0.19327,                 1.9122,                 1.9292,                 2.0174,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.9654,                 2.1095,                 2.1905,                 0.6373,                0.29412,                 0.3469,                0.13923,                 1.9921,                 2.3287,                 2.0744,               0.001703,               0.001703,               0.001703
                     18,                 1.9233,                  2.066,                 2.1212,                0.68054,                0.43861,                 0.4963,                0.22298,                 1.8892,                 1.7257,                 1.9645,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.879,                 1.9749,                 2.0861,                0.72496,                0.41176,                0.50076,                0.24684,                  1.892,                  1.757,                 1.9556,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.9189,                 1.9861,                 2.0863,                0.66068,                0.44118,                0.48872,                0.19238,                 1.9155,                 1.9399,                 1.9583,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.9111,                  1.993,                 2.0315,                0.75291,                    0.5,                0.55104,                 0.2508,                 1.8031,                 1.6924,                 1.8902,              0.0016238,              0.0016238,              0.0016238
                     22,                  1.852,                 1.9218,                 2.0304,                0.64914,                0.48974,                0.51162,                0.22139,                 1.8884,                 1.7581,                 1.9728,               0.001604,               0.001604,               0.001604
                     23,                 1.8051,                 1.8817,                 2.0183,                0.70638,                0.48529,                0.54283,                0.21057,                  1.959,                 1.6817,                  2.016,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.8323,                 1.8365,                 2.0008,                0.59478,                0.44608,                0.47131,                0.22805,                 1.8325,                 1.7881,                 1.9408,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.7887,                 1.8385,                 1.9932,                0.77485,                0.51471,                 0.5857,                0.26245,                 1.8258,                 1.5833,                 1.9184,              0.0015446,              0.0015446,              0.0015446
                     26,                  1.779,                 1.8045,                 2.0043,                0.76239,                0.51471,                0.57771,                0.25903,                 1.8807,                 1.5041,                 1.9183,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.7681,                 1.7341,                 1.9493,                0.77908,                0.51861,                0.57304,                0.26511,                 1.7717,                 1.6444,                 1.8242,               0.001505,               0.001505,               0.001505
                     28,                  1.756,                 1.7564,                 1.9512,                0.69429,                0.48985,                0.54087,                0.24296,                 1.8311,                 1.6354,                 1.8595,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.7304,                 1.6762,                   1.91,                0.80356,                0.52135,                0.61359,                0.29618,                 1.7001,                 1.6124,                 1.8079,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.7098,                 1.6722,                 1.8871,                0.81395,                0.52451,                0.59344,                0.27739,                  1.769,                  1.514,                 1.8385,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.6953,                  1.596,                 1.8739,                0.75995,                0.53922,                0.61508,                0.28554,                 1.8038,                 1.4593,                 1.8531,              0.0014258,              0.0014258,              0.0014258
                     32,                  1.706,                 1.6288,                 1.8898,                0.77476,                0.55644,                0.61998,                0.26438,                 1.8651,                 1.4865,                 1.8935,               0.001406,               0.001406,               0.001406
                     33,                 1.6903,                 1.6033,                 1.8704,                0.74595,                0.59314,                0.64139,                0.30546,                 1.7164,                 1.4146,                 1.7982,              0.0013862,              0.0013862,              0.0013862
