                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5741,                  5.764,                 4.1635,                0.00062,                0.10784,                 0.0004,                0.00015,                 3.8253,                 5.4747,                 4.1025,             0.00065753,             0.00065753,             0.00065753
                      2,                 3.1899,                 4.9213,                 3.6179,                0.00076,                0.13235,                0.00073,                0.00024,                 3.1602,                 5.4313,                 3.5466,              0.0013111,              0.0013111,              0.0013111
                      3,                 2.9252,                 4.4111,                 3.1879,                0.00147,                 0.2549,                0.00112,                 0.0004,                 3.2748,                 6.0096,                  3.447,              0.0019514,              0.0019514,              0.0019514
                      4,                 2.7888,                 3.9331,                 2.9806,                0.02943,                0.02941,                0.00828,                0.00289,                 2.6515,                 4.1035,                 2.7202,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.5938,                 3.5065,                 2.8237,                0.28834,                0.16667,                0.11189,                0.03184,                 2.4969,                 3.0289,                 2.5525,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.5112,                 3.1606,                 2.7248,                0.27803,                0.19118,                0.14005,                0.04038,                 2.4722,                  2.757,                 2.5297,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.3845,                 2.9434,                 2.6094,                0.31789,                0.22549,                0.19982,                0.06246,                 2.3442,                  2.585,                 2.4004,               0.001901,               0.001901,               0.001901
                      8,                 2.3133,                 2.8473,                 2.4801,                0.39644,                 0.3252,                0.24032,                0.09404,                 2.1365,                 2.5473,                 2.1988,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.3436,                 2.7158,                 2.4702,                0.49567,                0.27941,                0.28421,                0.11667,                 2.0838,                 2.2799,                 2.1327,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.1919,                 2.5568,                 2.3298,                0.41606,                0.28922,                0.27723,                0.10239,                 2.1389,                 2.7885,                 2.1768,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.1381,                 2.4984,                 2.2803,                0.46995,                 0.4042,                0.37994,                0.15299,                 2.0692,                 2.1443,                 2.1036,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.0601,                 2.3914,                  2.225,                 0.5563,                0.37745,                0.37853,                0.15452,                 1.9819,                 2.1646,                   2.03,               0.001802,               0.001802,               0.001802
                     13,                 2.0995,                 2.3655,                 2.2389,                0.47076,                0.28779,                0.30583,                0.12042,                  2.089,                 2.2443,                 2.1331,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.0205,                 2.2583,                 2.1973,                 0.5567,                0.36765,                0.37299,                0.14399,                 2.0697,                 2.0187,                 2.0921,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0602,                 2.2887,                 2.1776,                0.58948,                0.32843,                0.37049,                 0.1556,                 1.9807,                 2.1248,                  1.959,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.961,                 2.1716,                 2.1053,                0.67591,                0.43137,                0.46184,                0.20926,                 1.9235,                 2.0288,                 1.9329,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.9502,                 2.1276,                  2.091,                0.65794,                0.43137,                0.43608,                0.19769,                 1.9514,                 1.9019,                 1.9512,               0.001703,               0.001703,               0.001703
                     18,                 1.9224,                 2.1071,                 2.0444,                0.56344,                 0.4239,                0.45325,                0.20819,                 1.8837,                 1.8516,                 1.9301,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.9055,                 2.0255,                 2.0505,                0.72119,                0.44118,                0.49181,                0.23638,                 1.8059,                 2.3992,                 1.8579,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.8882,                 1.9761,                 1.9905,                0.54902,                0.48529,                0.47852,                0.21872,                 1.8625,                 1.8319,                 1.8684,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.9041,                 2.0381,                 2.0264,                0.59203,                 0.5098,                0.53248,                0.25159,                 1.7574,                  1.806,                 1.7984,              0.0016238,              0.0016238,              0.0016238
                     22,                  1.855,                 1.9364,                 1.9794,                0.72275,                0.42157,                0.50031,                0.24132,                 1.7842,                 1.7329,                 1.8076,               0.001604,               0.001604,               0.001604
                     23,                 1.8122,                 1.8755,                 1.9248,                 0.6469,                0.44118,                0.47828,                0.21581,                 1.8331,                 1.7535,                 1.8679,              0.0015842,              0.0015842,              0.0015842
